skills,interests,education,tools,experience_level,career
"user flows, personas","ux strategy","BS Design","miro, notion","junior",UI/UX Designer
"accessibility, heuristics","inclusive design","BS Design","wcag, figma","mid",UI/UX Designer
"mobile ui, onboarding","app design","BS Design","figma, principle","entry",UI/UX Designer
"usability testing, interviews","research","BS Design","lookback, dscout","junior",UI/UX Designer
"responsive layouts, grid systems","web design","BS Design","figma, bootstrap","junior",UI/UX Designer
"visual hierarchy, color theory","branding","BS Design","figma, illustrator","mid",UI/UX Designer
"prototype validation, iteration","product experiments","BS Design","figma, maze","junior",UI/UX Designer
"information architecture, navigation","ux planning","BS Design","miro, figma","mid",UI/UX Designer
"interaction patterns, microcopy","content design","BS Design","figma, notion","junior",UI/UX Designer
"design audits, UX reviews","quality","BS Design","figma, jira","mid",UI/UX Designer
"service design, journey mapping","ux strategy","BS Design","miro, figma","senior",UI/UX Designer
"collaboration with devs, handoff","design ops","BS Design","zeplin, figma","mid",UI/UX Designer
"brand guidelines, iconography","visual identity","BS Design","illustrator, figma","mid",UI/UX Designer
"user feedback analysis, iteration","continuous improvement","BS Design","notion, figma","junior",UI/UX Designer
"interactive prototypes, motion","experience design","BS Design","after effects, figma","senior",UI/UX Designer
"product analytics, UX metrics","data-driven design","BS Design","amplitude, figma","mid",UI/UX Designer
"content strategy, seo, analytics","digital growth","BS Marketing","google analytics, semrush","entry",Digital Marketer
"social media campaigns, engagement","community building","BS Marketing","meta ads, hootsuite","junior",Digital Marketer
"email marketing, segmentation","lifecycle marketing","BS Marketing","mailchimp, hubspot","junior",Digital Marketer
"ppc ads, copywriting","performance marketing","BS Marketing","google ads, keyword planner","mid",Digital Marketer
"marketing automation, funnels","growth","BS Marketing","hubspot, zapier","mid",Digital Marketer
"content calendar, brand voice","content marketing","BS Marketing","notion, canva","entry",Digital Marketer
"seo audits, technical optimization","search marketing","BS Marketing","ahrefs, google search console","mid",Digital Marketer
"conversion rate optimization, a/b testing","optimization","BS Marketing","optimizely, google optimize","senior",Digital Marketer
"social listening, sentiment analysis","brand monitoring","BS Marketing","sprout social, brandwatch","mid",Digital Marketer
"influencer outreach, partnerships","campaigns","BS Marketing","grin, upfluence","junior",Digital Marketer
"google analytics reporting, dashboards","measurement","BS Marketing","google analytics, data studio","entry",Digital Marketer
"landing page optimization, ux","lead generation","BS Marketing","unbounce, hotjar","mid",Digital Marketer
"market research, surveys","insights","BS Marketing","typeform, survey monkey","entry",Digital Marketer
"creative briefs, ad testing","creative strategy","BS Marketing","meta ads, canva","junior",Digital Marketer
"crm segmentation, lead scoring","demand generation","BS Marketing","salesforce, hubspot","senior",Digital Marketer
"affiliate marketing, tracking","partner marketing","BS Marketing","impact, google analytics","mid",Digital Marketer
"brand storytelling, messaging","brand marketing","BS Marketing","canva, notion","entry",Digital Marketer
"retention campaigns, lifecycle","customer marketing","BS Marketing","hubspot, mailchimp","mid",Digital Marketer
"event marketing, webinars","field marketing","BS Marketing","zoom, eventbrite","junior",Digital Marketer
"social ads optimization, roi","performance","BS Marketing","meta ads, google ads","senior",Digital Marketer
"python, fastapi, jwt, sql","secure backend APIs","BS Computer Science","docker, postgres, git","junior",Software Developer
"node.js, express, mongodb","api development","BS Software Engineering","git, postman","entry",Software Developer
"python, async programming","high concurrency systems","BS Computer Science","asyncio, docker","mid",Software Developer
"java, spring security","secure enterprise apps","BS Computer Science","maven, mysql","mid",Software Developer
"php, api development","backend maintenance","BS Computer Science","laravel, git","entry",Software Developer
"python, microservices","distributed systems","BS Computer Science","docker, kubernetes","senior",Software Developer
"typescript, backend testing","reliable services","BS Computer Science","jest, git","junior",Software Developer
"golang, rest api","scalable services","BS Computer Science","docker, grpc","mid",Software Developer
"python, logging, monitoring","system reliability","BS Computer Science","prometheus, grafana","mid",Software Developer
"c#, asp.net core","enterprise APIs","BS Computer Science","azure, git","senior",Software Developer
"sql, joins, reporting","data insights","BS Business Analytics","excel, power bi","entry",Data Analyst
"python, pandas, visualization","analytics dashboards","BS Data Science","matplotlib, seaborn","junior",Data Analyst
"sql, etl pipelines","data engineering basics","BS Computer Science","airflow, dbt","mid",Data Analyst
"excel, dashboards","business reporting","BS Management","excel, power bi","entry",Data Analyst
"python, statistics","data exploration","BS Statistics","scipy, pandas","junior",Data Analyst
"sql, metrics analysis","growth tracking","BS Business","tableau, excel","mid",Data Analyst
"python, clustering","customer segmentation","BS Data Science","sklearn, pandas","mid",Data Analyst
"excel, forecasting","sales trends","BS Economics","excel","entry",Data Analyst
"sql, performance analysis","ops analytics","BS Operations","power bi, sql","junior",Data Analyst
"python, anomaly detection","fraud analytics","BS Data Science","sklearn, pandas","senior",Data Analyst
"linux, access control","system security","BS Information Security","linux, auditd","entry",Cybersecurity Analyst
"network scanning, reconnaissance","attack surface analysis","BS Computer Science","nmap, wireshark","junior",Cybersecurity Analyst
"siem tuning, alerts","threat detection","BS Information Security","splunk","mid",Cybersecurity Analyst
"cloud security posture","secure cloud infra","BS Computer Science","aws security hub","mid",Cybersecurity Analyst
"incident handling, forensics","response operations","BS Information Security","volatility","senior",Cybersecurity Analyst
"phishing detection","email threats","BS Cyber Security","splunk, proofpoint","entry",Cybersecurity Analyst
"ids tuning, alerts","network defense","BS Computer Science","snort, suricata","mid",Cybersecurity Analyst
"endpoint protection","host security","BS Information Security","defender, crowdstrike","junior",Cybersecurity Analyst
"threat modeling","secure design","BS Information Security","stride","senior",Cybersecurity Analyst
"security reporting","risk communication","BS Information Security","excel, splunk","mid",Cybersecurity Analyst
"python, ml basics","model building","BS Data Science","sklearn, pandas","entry",AI Engineer
"nlp pipelines","text analytics","BS Data Science","spacy, sklearn","mid",AI Engineer
"deep learning fundamentals","neural networks","BS Computer Science","pytorch","junior",AI Engineer
"model evaluation","ml metrics","BS Data Science","sklearn","mid",AI Engineer
"ml deployment","production AI","BS Computer Science","docker, fastapi","senior",AI Engineer
"feature stores","ml infrastructure","BS Computer Science","feast","senior",AI Engineer
"model explainability","interpretable AI","BS Data Science","shap, lime","mid",AI Engineer
"data preprocessing","clean datasets","BS Data Science","pandas","entry",AI Engineer
"ml monitoring","drift detection","BS Data Science","evidently","senior",AI Engineer
"hyperparameter tuning","optimization","BS Data Science","optuna","mid",AI Engineer
"user research, interviews","design discovery","BS Design","miro, figma","entry",UI/UX Designer
"interaction design","user flows","BS Design","figma","junior",UI/UX Designer
"design systems","scalable UI","BS Design","figma, storybook","mid",UI/UX Designer
"usability testing","product validation","BS Design","maze","junior",UI/UX Designer
"mobile UX","app usability","BS Design","figma","entry",UI/UX Designer
"accessibility audits","inclusive UX","BS Design","wcag","mid",UI/UX Designer
"design leadership","UX strategy","BS Design","figma","senior",UI/UX Designer
"visual storytelling","brand experience","BS Design","illustrator","mid",UI/UX Designer
"product thinking","user-centric design","BS Design","notion, figma","junior",UI/UX Designer
"motion design","micro interactions","BS Design","after effects","senior",UI/UX Designer
"seo basics","search visibility","BS Marketing","google search console","entry",Digital Marketer
"paid ads optimization","performance growth","BS Marketing","google ads","junior",Digital Marketer
"content marketing","brand awareness","BS Marketing","canva, notion","entry",Digital Marketer
"analytics interpretation","data-driven marketing","BS Marketing","google analytics","mid",Digital Marketer
"marketing funnels","lead nurturing","BS Marketing","hubspot","mid",Digital Marketer
"campaign strategy","brand campaigns","BS Marketing","meta ads","senior",Digital Marketer
"email campaigns","user retention","BS Marketing","mailchimp","junior",Digital Marketer
"conversion optimization","landing pages","BS Marketing","hotjar","mid",Digital Marketer
"influencer marketing","reach growth","BS Marketing","upfluence","entry",Digital Marketer
"marketing leadership","growth strategy","BS Marketing","hubspot","senior",Digital Marketer

